tweet_id,text,final_intent
1625434,@AppleSupport @115858 have you solved the high use of battery of #ios11? Tks,battery\_power
1404859,@AppleSupport 6s battery struggles after iOS11.0.3 upgrade :( down to 15% from 58% while watching just one episode for 40mins on 3G..,battery\_power
613046,safari isn't playing any sound on my laptop HELP @115858 @AppleSupport,apps\_services
168795,"@AppleSupport I was forced to update my phone system with data usage,why the fuck did you do that ?",ios\_update
1394002,"@AppleSupport my iPhone 6 has been rapidly dropping charge &amp; randomly shutting off 4 months, when I plug in again says it has battery life?",battery\_power
1986856,@AppleSupport please stop my phone from turning the letter I️ into this weird symbol. It’s driving me crazy. Thanks.,keyboard\_input
1122193,@AppleSupport Plz the clear this solution or if not possible then change my iphone its up to yu,other
1218365,"@AppleSupport Hi! Now it appears to me...btw, thank you!",other
1977272,@AppleSupport after i updated this happened. What can I do ?? https\://t.co/yWBbmdnNv1,ios\_update
1455368,"@AppleSupport hello, I’m having issues updating to iOS 11.1 on my iPhone 6 Plus, I already sent you a message 🙂",ios\_update
2052786,@AppleSupport my new music mix which normally refreshes every Friday morning has gone? Help,music\_media
2050839,@AppleSupport How to solve the problem with the phone? Constantly restarts itself. Recovery and flashing not help. Can you help me?,device\_performance
1134084,"@AppleSupport No, all apps are up to date, my phone is really slow, keyboard is driving me nuts, freezes and it is slow, among other things.",device\_performance
1707703,Apple needs to fix this emoji bs cause I️ can’t even type i without it being a question mark @115858 @AppleSupport,keyboard\_input
946674,@AppleSupport Using any apps or being on phone. Plug it into charger and goes back to 50% instantly and then drops again quickly after off charger,battery\_power
1582180,@AppleSupport any reason why I still cannot join iPhone Upgrade Program for iPX in UK?! Orders should have opened at 6am today! Not happy!!! https\://t.co/k0Xn0H2e8z,payments\_purchases
2300385,@AppleSupport my iTunes account won’t let me change country due to an useless minimal amount of money left on it- how do I solve this? I moved country and would like use local gift cards as payment.,payments\_purchases
236811,@AppleSupport 😒😑,other
1565223,@AppleSupport @115858 how many people do you think use your products for work and CAN’T because we look like fucking morons??? FIX THIS SHIT,other
403553,@AppleSupport please fix the battery draining issue..,battery\_power
2015439,"@AppleSupport Nah fam, I️ spent over too much money on this iPhone 8+ to fix YALL issue. I️ claim a refund ... yoo @138021 I️ need a mobile device",payments\_purchases
994501,@AppleSupport Heck yeah I will the newest version of it,other
1014374,@AppleSupport help https\://t.co/nuRq7PkQOe,other
2622641,@AppleSupport @740935 When is reputation coming to Apple Music?,music\_media
159588,@AppleSupport Can i️ trade in a perfect contrition iphone 6s at the apple store? if so how much will i️ get,payments\_purchases
2206972,@AppleSupport Just done this. Please advise re battery? Phone barely lasts half a day currently? Have done all the usual checks Re background apps etc,battery\_power
1429739,"@AppleSupport My iPhone 5c is searching the network but isn't founding, and yes, i've checked my IMEI, and is it there. What is the problem?",connectivity
2133513,"@AppleSupport Alright, thanks.",other
356806,@AppleSupport Yes built in keyboard and 11.0.2 - is it capitalising words/names that are in my contacts list? I reckon that’s exactly what is happening. 🤔,keyboard\_input
1000219,@AppleSupport any way to check overall battery health of my iPhone 7?,battery\_power
2054539,This new iPhone update is garbage! My battery life is getting murdered now @AppleSupport @115858,battery\_power
2544486,"@AppleSupport j'ai besoin de votre aide! iPhone volé, j'ai besoin de récupérer mes images sur mon PC depuis iTunes. Sauf que pas possible !",apps\_services
795778,@AppleSupport And do you know when this issue will be addressed for people using genuine apple hardware ?,other
1761290,How am I️ not connected to the internet @115858 @AppleSupport ????? https\://t.co/yzr9u21cLJ,connectivity
1016769,@AppleSupport: do you happen to know why they’re ghosted out? Thanks! #iOS #iphone7 #wondering #help #photos #cameraroll https\://t.co/4etUoKvQeO,apps\_services
1836635,"@AppleSupport pls fix the Bluetooth issue on iOS, nothing but interference when listening to music..",connectivity
2948210,What the heck again @AppleSupport ? I still have 28GB of iCloud https\://t.co/qqJlj8yqnO,apps\_services
149993,@AppleSupport Hi guys i am running on version 4.0 watch os and iphone os - 11.1.2 so the most current on both,other
928077,@AppleSupport is there any way to see my activity history prior to getting new iPhone 8? My prior weeks look like this now. Encrypted backup https\://t.co/N67uVz5uld,apps\_services
2493851,"@AppleSupport Oh okay, thank you!",other
1986902,@115858 @AppleSupport since this bulging #battery if I take it in will you replace? #MacBookPro https\://t.co/Z6CG2ufJWB,battery\_power
2280272,Is @AppleSupport going to fix this A question mark thing?!,keyboard\_input
164244,Is @AppleSupport ever going to #fix the ringtone issue? It's a bit frustrating since so many of us have #purchased (from @115858) #ringtones which now can't be used. Looking forward to the fix.,music\_media
582779,@AppleSupport background app refresh off; privacy on photos/mic/camera is on 2 apps (twitter+dropbox) - all are off -,apps\_services
34690,"@AppleSupport @115858 bitch!! Stop changing the letter “I” to that dumb ass shit. I’m sick of it, hoe!!",keyboard\_input
2133600,@AppleSupport Its ios 11.1,other
2034901,Anyone else getting the ? On their iPhone when pressing the letter I️ like in ISLAND? @AppleSupport what did you guys do??🙈,keyboard\_input
2002392,@115858 @AppleSupport what’s up with the capital “I️”. And my screen freezing with simple commands?? That @122986 pixel 2 lookin real nice.,keyboard\_input
2422404,Hey @AppleSupport how long until the I️ is fixed. It’s stopped being amusing. #IHateAppleCore https\://t.co/SF9q5i0UK7,keyboard\_input
1958040,@AppleSupport My battery drains so much!,battery\_power
211247,@AppleSupport Just got news that 2 incidents reported that iPhone 8 plus battery burst while charging. Is it true ?,battery\_power
2021338,@115858 @AppleSupport please explain this to me https\://t.co/Wx6WJ46SFc,other
2641019,@AppleSupport I have Apple Music and should be able to play this why is it not allowing me to https\://t.co/SU5jyjj50B,music\_media
334118,"@AppleSupport hi there, i have some issue with iMessage on my iPhone.",apps\_services
2039290,Just got my iPhone X it’s already scratched and I’m so careful with it have a case one always and always wash my hands before I use it @AppleSupport plz help I’m so sad that it’s already scratched the day I️ got it it was scratched but others r saying they have the same problem,hardware\_accessories
2678271,@AppleSupport I’m using a 6s plus. With 11.2 beta 3,other
2021945,@AppleSupport I have 11.1 and the new emojis but I’m seeing black boxes and ? Marks on twitter and Snapchat.Why if I have the latest update?,ios\_update
738533,@AppleSupport Basically everytime I press verify it comes back to this. https\://t.co/HUXV7x1AvV,account\_activation
586933,@AppleSupport I reset my Face ID and some apps no longer work. Doesn’t offer me to login with Face ID. How can I fully erase Face ID and restart so ALL apps ask if I want to use it?,account\_activation
2915995,"@AppleSupport It says my payment method has been declined, but when I try change it, it says it won't work.",payments\_purchases
1151823,Hello @AppleSupport take a look at this email please. https\://t.co/LfFDDdfEKA,other
2759077,@AppleSupport Even to the bottom right corner when I have no other apps on the screen...,other
2806689,@AppleSupport It keeps popping up every few minutes,device\_performance
2506053,"I wonder how long after my credit card is charged and my phone is preparing for shipment, it will actually ship?? @115858 ? @AppleSupport ? #soantsy #notgoodatwaiting #iPhoneX",payments\_purchases
1877398,@AppleSupport re\:iOS 11.03 update. U have single-handedly ruined my fabulous Friday. Stop updates that make things worse,ios\_update
949694,@AppleSupport why can’t I hear anybody when I make a call? They can’t hear me either. But yet it will work whilst I’m on WhatsApp 😤,connectivity
242495,"@AppleSupport My iPhone is unresponsive when Im using apps like Instagram, Snapchat, podcast even playing music, the pause and play button isn’t shown.",device\_performance
1370250,@AppleSupport the problem is actually in the calendar. when i make appointments for work it lags on every input. sometimes it lags as long as 5-6 minutes.,apps\_services
403597,@AppleSupport An iPhone SE. OS 11.0.2.,other
2890698,"@AppleSupport ""When you say that your iPhone reset, did it restart on it's own?"" - Its, not it's. @110924 #cm3312017",other
1095901,@AppleSupport tried different apple cables and always charged via usb through my laptop,battery\_power
1407358,@AppleSupport Unfortunately not. I swipe across to widget display and it collapses. Swipe again and it reopens. Next swipe it collapses again... and so on,device\_performance
1358123,"@AppleSupport I resv'd iphonex for Nov 3, got res # pending carrier approval called @115725 who said all should be good. Am i getting it?",payments\_purchases
851233,@115858 @AppleSupport The iPhone 8 plus front camera is so mediocre. Try taking a selfie in Times Square and all billboards come across white. Its a below par camera!Have noticed even rear camera is bad for bright neon lights.,hardware\_accessories
172981,"@AppleSupport hey! I get a message on #macOS when I connect my #iPhoneX to #MacBookPro (15"", 2017) using USB-C to #Lightning cable - it says it draws too much power??!! Should I be concerned??",hardware\_accessories
2122511,@AppleSupport Oh I just restarted my phone and everything went back to normal,other
433128,@AppleSupport They sit with a grated out circle. When I tap it the cloud appears and goes into a circle again. Sometimes downloads sometimes not.,apps\_services
1436710,@AppleSupport Nope and I don't have iTunes and no no one has one I can log on from,other
1125437,"@AppleSupport I use it on a Mac and iPhone, which I’ve always done. Music shows on Mac but not iPhone.",music\_media
305305,"@AppleSupport hi, yes, I’ve done a hard restart to no avail. Same issue occurs.",other
1329275,@AppleSupport why does an app I am not redistributing expire every 7 days? Makes no sense to pay 99$ for a native apple tv app.,apps\_services
407067,@AppleSupport iPhone 7 Plus,other
1379664,@AppleSupport ios 11.0.3 and yes,other
2028141,@AppleSupport I’m having the question mark in a box problem. I have newest iPhone before the X and i tried this and now my I’s are https\://t.co/j1cQKSC5Vi,keyboard\_input
1770778,@AppleSupport @115858 why do my music and alarm apps keep crashing #ios11fail #abugslife,device\_performance
2064064,@AppleSupport why since I’ve gotten my iPhone 8plus my wifi continues to drop every device is fine just this one I’ve done everything to fix,connectivity
2374401,Why does my #imessage show up as inactive on my #MacBookPro when I am logged into everything properly?? Is there an easy fix?? @AppleSupport,apps\_services
1666284,@AppleSupport This is a purchased song,payments\_purchases
2549086,"@AppleSupport @123765 I get that some processes still have to run in the background, but I think that 25 mins is too much for an app that needs screen to do stuff",battery\_power
448412,"@AppleSupport A quick thank you for trying but a complete wipe and restore was needed. And despite all the massaging just to get CS5.1 to work, the OS still doesn't like it. Time for a new computer and an update @116233. #expensivetouch",device\_performance
43323,@AppleSupport is it possible to get a 2011 MacBook Pro battery serviced in store?,battery\_power
1388857,@115858 @AppleSupport your latest update is killing my battery life... https\://t.co/u0qH2bzOGR,battery\_power
1714811,@AppleSupport Thank you!!,other
867491,@AppleSupport I restarted my phone and it sat on the Apple screen for 8 minutes. No drop damage. No water damage no clue,device\_performance
2301459,@AppleSupport seeing\*,other
1821392,@AppleSupport @546812 It goes down in the DM,other
1142119,@AppleSupport Please fix this issue https\://t.co/cpzPYBL1vK,other
1948374,@AppleSupport This is happening for last 7-10 days.. Using charger that came with the device..,battery\_power
1028434,"@AppleSupport No, the third screen shot attached is actually the first taken. You can try the same steps on iPhone 6.",other
2896154,@AppleSupport Yes. Nothin happens. Just the blinking folder,device\_performance
1537702,@AppleSupport Thanks! Running 11.0.3,other
397476,"@AppleSupport I need to cancel a subscription but when I tap my Apple ID, this happens! Can you help? https\://t.co/MsBiiOaPlJ",payments\_purchases
458431,@AppleSupport Yes. I'm pretty tech savvy and am even logged into itunes and still not going thru. Just spend 40 minutes on the phone w/ Capital One and they confirm all is good with my account.,payments\_purchases
2121633,@AppleSupport @625080 The @129941 app seems to be causing iOS system crashes.,device\_performance
2978789,@AppleSupport wanted to share this screenshot with you from my iPhone X. I noticed that the time and other icons were shifted over and not lining up correctly. https\://t.co/27jMZ9DM2z,device\_performance
430147,@AppleSupport Its just in the 'watch face'. No other apps are affected. It happened with the switch to Watch OS4. Ive tried turning wifi on/off/resetting,connectivity
2438554,"@AppleSupport At least once, occasionally twice.",other
2121676,"@AppleSupport All I have selected is the iCloud contacts the rest of are email groups I did have it linked with my outlook but have given up with that as they never worked very well together, losing email groups so all I’m using is iCloud now just a pain putting all back in",apps\_services
1434352,"@AppleSupport It’s ok, managed to rescue the timeline by adding 2nd screen. Definitely bugs galore on FCP X 10.3.4 on High Sierra!! Fix em pls!",device\_performance
1531055,@AppleSupport It didn’t help. My screenshots appear white. My photo library is filled with white spaces that are meant to be screenshots.,apps\_services
1644606,.\@AppleSupport...please help. I️ cannot take my “I️” being changed every time I️ type it. HELPPPPPP,keyboard\_input
269510,@AppleSupport 11.0.1,other
2570933,"@AppleSupport your cust service unhelpful. You cancelled my iPhone X order and blame PayPal, PayPal blame Apple I stuck in middle :(",payments\_purchases
1705343,My phone worked perfectly fine til i updated it now its glitching out &amp; doing that weird thing with the letter I️ (i) @AppleSupport help out,keyboard\_input
246316,@AppleSupport You have an issue with WhatsApp “type a message” box experiences in iPhone 7. It goes only after switching the mobile,keyboard\_input
2557418,"@AppleSupport yeah i know, it asks for a user and a passwort, like a remote login or something, but why did it appear all of a sudden? because i used ssh once? \:D",account\_activation
2278447,@AppleSupport I can’t use my yahoo email all of the sudden on 2 devises. It says “user name or password are incorrect” I have multiple accounts on different phones. I receive but can’t send. Have deleted and reloaded,account\_activation
2676867,"@AppleSupport hi, I don't own any apple id nor I have applied for one. Still I am getting this mails(5 till nw) which I believe spam,pls hlp",account\_activation
749784,@AppleSupport IPhone 7 Plus And iOS 11.0.3,other
2291590,@AppleSupport It says update requested but the update is about iPhone x screen touching,ios\_update
1690473,@513209 @AppleSupport I agree. What a joke,other
2111423,@ATT @115858 @AppleSupport hey i would LOVE to know why my iPhone 8 of less than a month already turned off and won't turn back on!!!!!!!!!!,battery\_power
2020123,look here @AppleSupport ....you can make my phone slow and all that with these updates... but i️ want my i’s back! you takin it to far!,keyboard\_input
853916,"@AppleSupport Tengo un Macbook Pro retina de mediados del 2014 al que le ha salido esto en la pantalla, parece un defecto de fábrica https\://t.co/amRfvlaEBg",hardware\_accessories
2774335,"@AppleSupport You know. I get it. My MacBook Pro is almost 8 years old. But if the older Macs are having such issues with this OS, then force obsolete us.",device\_performance
689308,"@AppleSupport I got a weird issue, on iPhone 7 I'm getting heating problem but today I got issues with camera flash, in control panel brightness indicator is saying full brightness but the screen light is very dim...unable to connect support as well. https\://t.co/529CJU5SxU",device\_performance
1407867,@AppleSupport it has been 2 hours but nothing happening. I’m unable to login. And I’ve restored os using command+R &gt;restore Mac(High Sierra) https\://t.co/hTaXXy7ugP,account\_activation
2903737,@AppleSupport Its not an app! Its the camera roll,apps\_services
300623,"@187675 @AppleSupport Yes, I see. First time ever that I find Apple really dissapointing. Sad.",other
1599714,This isn’t what I️ tweeted so what the fuck is going on ? @123765 @TwitterSupport @AppleSupport @115858 https\://t.co/sKVTMtWjvX,keyboard\_input
2118385,@AppleSupport @624313 I am also getting the same error after recent beta upgrade!!! https\://t.co/6YQqNieRIq,ios\_update
2779378,"@AppleSupport Me/wife/2 kids, iPhone 7: wifi/bt are off then frequently come back ON again on their own. Most often when coming out of airplane mode but see it when I wake up in AM both are suddenly on...maybe triggered by the Do Not Disturb function. I have not seen it turn OFF on its own.",connectivity
1976565,I️ need to understand why my letter “I️” keeps turning into “! And a box with a question mark” @AppleSupport 🤷🏾‍♀️.,keyboard\_input
446521,"@AppleSupport literally had these for 1 month and already one of the ears broke, just out of no where... replacement? https\://t.co/7wFrBepTQA",hardware\_accessories
2007702,@AppleSupport fix whatever y’all doing with these updates . My phone always glitches when I update it . Im about to get an Android,ios\_update
1598110,@AppleSupport why won’t this thing connect?! Trying all day. Tweeting from phone connected to said network. #iPhoneX #iphoneXlaunch https\://t.co/0hP7j4boO2,connectivity
1543327,@AppleSupport why is cant I️ type the letter “I️” without I️t being replaced to a # and a question mark box https\://t.co/cHnRFoNZuF,keyboard\_input
2375289,"@applesupport Hi there - iphone 5 just stopped connecting to imessage. Turned off/on, rebooted, reset network settings - you name it - I tried it. Activation error. Don't get any messages from people with an iphone (it's not recognizing to switch to SMS). Any ideas? Thanks.",apps\_services
394071,@AppleSupport my IDapple is not working. I put the password and it say it’s wrong,account\_activation
639767,"#iOS11 is so full of bugs... unbelievable. In addition to all the freezes, delays, unresponsiveness and faulty transitions, one of the worst I'm encountering is also the hotspot turning itself on at random times. #Apple @AppleSupport",device\_performance
1300708,"Y’all need to fix this iOS update, @AppleSupport. I’m getting real sick and tired of turning my WiFi off multiple times a day.",connectivity
437020,@AppleSupport my IMessage Not working,apps\_services
2152915,@AppleSupport 11.0.3.... 11.1 is downloading now. Dont understand why i didnt get a software update notification. I hope the fixes it.,ios\_update
1785232,"@AppleSupport Ordered at 3 am &amp; got a reservation #. Email arrived, went to purchase but Apple will not honor it be/ I have a PO Box. 😠",payments\_purchases
853171,@AppleSupport my iPhone 6 keeps freezing every 10 minutes since iOS 11 please do something https\://t.co/LS2PRJ0Yqt,device\_performance
1249461,Holy FK @115858 @AppleSupport I can’t even make or receive phone calls since the last iOS update!!! Thanks for the $800 brick!,connectivity
1111402,.\@699 Why do ALL the games show this message on @117406 App on @115858 TV @AppleSupport? #NBALeaguePass #AppleTV #WTF #NBAAPP #NBATV #JANKY https\://t.co/rR0SXzGISd,apps\_services
2002944,@592266 @AppleSupport Or Jog on what ever fits 🤔,other
484589,"@AppleSupport screwed up with iOS11, so many problems happening with my 6s!!! Really board with problems....",ios\_update
1181852,@AppleSupport Mpow Magneto headphones,hardware\_accessories
1287051,hey @AppleSupport i just purchased the apple music family plan and ever since i get this error.. i’ve already been billed. what’s up? https\://t.co/Wy9a1ChkKN,payments\_purchases
1571677,@AppleSupport The autocorrect glitch for the letter I,keyboard\_input
707427,@AppleSupport Well appreciated 🙏🏽,other
1158020,"My iPhone 6 screen is bulging, any suggestions? Is it safe to use until I can repair/replace? Trying to hold out for the X @AppleSupport 🆘📱",hardware\_accessories
2472935,@AppleSupport when I try to remove my credit card off my iTunes account it doesn't let me save the changes it says an unknown error has occurred; I would like to remove my credit card please!,payments\_purchases
1162071,I️ hero’s changing in my phone to some symbol what do I️ do? @AppleSupport,keyboard\_input
2834181,I thought iOS 11.1.1 was supposed to fix the “I” bug? @AppleSupport @115858 https\://t.co/ujIaFsF5Kl,keyboard\_input
382541,@AppleSupport iOS and TVOS I switch between my iPhone and my AppleTV (4th Gen). There are a bunch of songs. The personal station only seems to have a about 30 songs and I disliked many of them. Shouldn’t it reflect the music I listen to and like?,music\_media
1576413,@AppleSupport ya need to fix this I️ thing ASAP and by I️ meant “eye” since u prob can’t see the letter,keyboard\_input
874920,@AppleSupport why won't iTunes shuffle anymore? It's says ask Siri to do it. Why did you screw up iTunes? I only buy iPhone for tunes. Fix?,music\_media
588070,@AppleSupport Many times actually. Repair installs and even clean installs. I first noticed the problem in one of pre-release public betas and the problem has persisted ever since.,other
2545576,@AppleSupport my phone is messing up like it’s brand new. What is the issue here?!,device\_performance
963474,@AppleSupport is there anyway to check my iPhone 7 battery health?,battery\_power
2476049,"@115858 @AppleSupport Can you PLEASE fix your https\://t.co/NS4FWg1qzk They say a picture is worth a 1000 words. I am giving you two! #Umah is my app and not sure if it's ""in review"", ""ready for sale"" or really, really is ""in review!"" https\://t.co/YWY9rsLnz0 https\://t.co/qyjNnsHT4L",apps\_services
1969314,"@AppleSupport iPhone 7 and iOS 11.0.3, the screen freezes a lot and I have to restart it but then it happens the next day or two",device\_performance
894334,"@AppleSupport It happens late charging, yesterday it appeared until 96%. Not damaged at all, I have restarted since I bought my iPhone 8plus, a month ago.",battery\_power
910437,"@AppleSupport I just closed down iTunes, restarted and tried downloading through 'Purchased' - seems to have worked. Thanks very much for your help anyway",apps\_services
445967,@AppleSupport What is the ‘acceptable’ temperature for a iPhone 7 🧐🤔,device\_performance
1147076,"@AppleSupport In order to log in, I need to answer security questions - which I have forgotten. I cannot reset the answers to the questions",account\_activation
1365590,"@AppleSupport WTF ; iphone really sucks.. trying to show how to dispose, disgusting; first fix #error56 #iphone dead updating #ios 11",ios\_update
2850845,"@AppleSupport trying to use #ApplePay on @4086 for an order however I get an error on my shipping address, but doesn’t tell me what is actually wrong or how to correct the error.",payments\_purchases
2680930,@AppleSupport done!,other
937451,@AppleSupport Also having apps crash—including iMessage,device\_performance
993353,@AppleSupport everytime I try and log in https\://t.co/CR8R9PUmpF,account\_activation
2111313,I guess I’m having the same error 3014 problem everyone else is having. @AppleSupport,ios\_update
