tweet_id,llm_relevance,llm_helpfulness,llm_groundedness,llm_overall,proposed_human_relevance,proposed_human_helpfulness,proposed_human_groundedness,proposed_human_overall,reason
2506053,2,2,2,2,1,1,2,1,Reply's mention of checking other email folders is a non sequitur relative to the shipping-timing question.
1877398,3,2,4,3,3,2,4,3,"Generic acknowledgment of the update complaint, doesn't address specifics."
949694,4,3,4,4,4,3,4,4,Relevant diagnostic question distinguishing between making and receiving calls.
242495,3,2,4,3,3,2,4,3,Generic acknowledgment of the unresponsive-apps issue without specific guidance.
1370250,1,1,1,1,1,1,1,1,"Reply asks about deleting Music-app content, unrelated to the calendar input-lag issue described."
403597,1,1,2,1,1,1,2,1,"Reply discusses purchasing songs in iTunes, unrelated to the bare device/OS version fragment."
2890698,3,2,3,2,3,2,3,2,"Message is a grammar correction, not a real support request; reply's diagnostic question doesn't fit well."
1095901,3,2,4,3,3,2,4,3,Generic continuation relevant to the charging troubleshooting already attempted.
1407358,1,1,2,1,1,1,2,1,"Reply asks for country/region, unrelated to the widget swipe-collapse bug described."
1358123,3,2,3,3,3,2,3,3,Asking for location is a plausible (if generic) way to check regional order availability.
851233,4,3,4,4,4,3,4,4,Relevant offer of help with the camera-quality complaint.
172981,1,1,2,1,1,1,2,1,"Reply asks about a storage device, unrelated to the cable power-draw warning described."
2122511,5,4,4,5,5,4,4,5,"Consistent, relevant explanation of why restarting resolved the iCloud Photo Library sync issue."
433128,1,1,2,1,4,4,4,4,"Reply asks if a Mac is now working correctly; message describes an ongoing iCloud download icon issue, not a Mac."
1436710,1,1,2,1,1,1,2,1,"Reply asks about Control Center controls, unrelated to the stated lack of iTunes access."
1125437,3,2,4,3,3,2,4,3,Generic acknowledgment of a Mac/iPhone music-sync mismatch.
305305,3,3,3,3,3,3,3,3,Plausible diagnostic follow-up (GPS apps) continuing an ongoing troubleshooting thread.
1329275,4,3,4,4,4,3,4,4,Relevant clarifying question about whether the app-expiry issue is app-specific.
407067,3,3,4,3,3,3,4,3,Reasonable continuation asking for iOS version to keep troubleshooting a device-info fragment.
1379664,3,3,3,3,3,3,3,3,Plausible continuation redirecting to Photos experts given prior unseen context.
2028141,5,4,4,4,5,4,4,4,Correct workaround link for the letter-I autocorrect symbol bug described.
1770778,4,3,4,4,4,3,4,4,Relevant diagnostic questions about which apps crash and iOS version.
2064064,2,1,3,2,2,1,3,2,Asking for country doesn't build on the wifi-dropping troubleshooting already described.
2374401,5,4,4,4,5,4,4,4,Directly relevant diagnostic question about whether the iMessage issue followed a macOS update.
1666284,1,1,1,1,1,1,1,1,"Reply addresses phishing emails, unrelated to the purchased-song fragment."
2549086,3,3,3,3,3,3,3,3,Generic article pointer plausibly related to background app refresh behavior.
448412,3,2,3,3,3,2,3,3,Reasonably matches the closing/thank-you tone of the message despite the embedded complaint.
43323,3,2,4,3,3,2,4,3,Generic acknowledgment of the battery-service question without a direct answer.
1388857,4,3,4,3,3,3,4,3,Relevant acknowledgment of the update-related battery complaint.
1714811,5,5,5,5,5,5,5,5,Appropriately closes out a simple thank-you message.
867491,4,4,4,4,4,4,4,4,Relevant next-step article for a device stuck on the boot screen.
2301459,2,1,3,2,2,1,3,2,Message is a bare typo-correction fragment with no real content to act on.
1821392,5,4,5,4,5,4,5,4,"Correctly explains what DM means, matching the message's question."
1142119,4,3,4,3,3,3,4,3,"Relevant clarifying questions (device, duration) given a vague 'fix this issue' message."
1948374,5,4,4,4,5,4,4,4,Directly relevant charging-troubleshooting follow-up questions.
1028434,3,3,3,3,3,3,3,3,Plausible troubleshooting follow-up continuing an ongoing thread.
2896154,4,3,3,3,4,3,3,3,Points to a relevant resource for the blinking-folder boot issue.
1537702,3,3,3,3,3,3,3,3,"Plausible continuation asking about Fetch settings, consistent with an ongoing mail-sync thread."
397476,4,2,4,3,3,2,4,3,"Relevant acknowledgment of the subscription-cancellation error, defers to DM."
458431,1,1,1,1,1,1,1,1,Autocorrect-bug workaround link is unrelated to the described iTunes/payment troubleshooting.
2121633,4,3,4,4,4,3,4,4,Relevant follow-up question about iOS version for the app-crash report.
2978789,1,1,1,1,1,1,1,1,"Reply calls this a phishing attempt; message describes a UI misalignment bug, not a suspicious message."
430147,4,3,3,3,4,3,3,3,Reasonable follow-up question continuing the watch-face app troubleshooting.
2438554,3,2,3,3,3,2,3,3,Plausible continuation asking for device/iOS info given the terse frequency answer.
2121676,3,2,4,3,3,2,4,3,Generic acknowledgment of the iCloud/Outlook contact-sync frustration.
1434352,5,4,4,4,5,4,4,4,Appropriately redirects a Final Cut Pro bug report to the relevant specialist team.
1531055,4,3,4,4,4,3,4,4,Appropriately redirects a Photos-library display issue to the Photos team.
1644606,4,2,4,3,3,2,4,3,"On-topic acknowledgment of the autocorrect bug, but asks for info rather than giving the known fix."
269510,3,3,3,3,3,3,3,3,Plausible Bluetooth-focused follow-up continuing an ongoing troubleshooting thread.
2570933,4,3,3,3,4,3,3,3,Relevant redirect to the Online Store team for an order-cancellation dispute.
1705343,5,4,4,4,5,4,4,4,Correct workaround link for the letter-I bug described after an update.
246316,3,2,4,3,3,2,4,3,Appropriately asks for more detail given a third-party app (WhatsApp) issue outside Apple's direct control.
2557418,1,1,2,1,1,1,2,1,"Reply assumes the conversation is closed ('you're welcome'), but the message is asking an open question."
2278447,5,4,4,4,5,4,4,4,Directly relevant diagnostic questions distinguishing app vs. webmail login failure.
2676867,1,1,1,1,1,1,1,1,"Reply mentions an unrelated 'iMac audio situation', not the spam Apple ID emails described."
749784,3,2,3,3,3,2,3,3,Plausible continuation asking about onset time for a device-info fragment.
2291590,3,2,4,3,3,2,4,3,Generic acknowledgment of an ambiguous update/touch-issue message.
1690473,2,2,3,2,2,2,3,2,"Message is a vague reaction, not a specific complaint; reply's generic ask is a reasonable fallback."
2111423,4,4,4,4,4,4,4,4,Relevant next-step article for a device that won't power back on.
2020123,4,2,4,3,4,4,4,4,"On-topic acknowledgment of the autocorrect complaint, but doesn't offer the known fix directly."
853916,2,2,4,2,2,2,4,2,Appropriately notes the language option but doesn't address the screen-defect issue itself.
2774335,3,3,3,3,3,3,3,3,Generic troubleshooting offer for an older-Mac compatibility complaint.
689308,1,1,1,1,1,1,1,1,"Reply addresses Wi-Fi help, unrelated to the heating, camera flash, and screen-brightness issues described."
1407867,5,4,4,4,5,4,4,4,Directly relevant diagnostic question about when the Mac became unresponsive.
2903737,3,3,3,3,3,3,3,3,Reasonable generic troubleshooting step (test user account) continuing an ongoing thread.
300623,2,2,2,2,2,2,3,2,Reply guesses at a battery-related topic with no supporting evidence from the vague message.
1599714,4,3,3,3,4,3,3,3,Plausible workaround offer consistent with the likely autocorrect-bug context implied by tagging Twitter Support.
2118385,5,4,4,4,5,4,4,4,Appropriately redirects a beta-related error to the Developer support team.
2779378,4,3,4,4,4,3,4,4,Relevant Wi-Fi/Bluetooth troubleshooting resource for the described on/off behavior.
1976565,4,2,4,3,3,2,4,3,"On-topic acknowledgment of the autocorrect symbol bug, but asks for info rather than the known fix."
446521,4,3,4,4,4,3,4,4,Relevant next step (repair options) for the broken headphone/AirPod complaint.
2007702,1,1,2,1,1,1,2,1,"Reply asks about Do Not Disturb and call visibility, unrelated to the general update-glitching complaint."
1598110,5,4,4,4,5,4,4,4,"Thorough, relevant diagnostic questions for a persistent connectivity problem."
1543327,4,2,4,3,3,2,4,3,"On-topic acknowledgment of the autocorrect symbol bug, but asks for info rather than the known fix."
2375289,3,2,4,2,3,2,4,2,Generic acknowledgment of a detailed iMessage activation problem without engaging specifics.
394071,4,3,4,4,4,3,4,4,Relevant article pointer for an incorrect Apple ID password issue.
639767,4,2,4,3,3,2,4,3,"On-topic acknowledgment of a list of iOS bugs, but asks for info rather than addressing any specifically."
1300708,5,4,4,4,5,4,4,4,"Relevant, actionable steps for the recurring WiFi-toggling complaint."
437020,5,3,4,4,5,3,4,4,Relevant clarifying question distinguishing activation vs. send/receive iMessage issues.
2152915,1,1,2,1,1,1,2,1,"Reply asks about Wi-Fi network connectivity, unrelated to the update-notification question asked."
1785232,5,4,4,4,5,4,4,4,Appropriately redirects an order-honoring dispute to the Online Store team.
853171,3,3,3,3,3,3,3,3,Generic 'future update' workaround link is plausible but not clearly confirmed for the freezing issue.
1249461,4,3,3,3,4,3,3,3,Relevant resource offered for the inability to make/receive calls after an update.
1111402,4,3,4,4,4,3,4,4,Appropriately redirects an Apple TV app issue to phone support.
2002944,2,2,3,2,2,2,3,2,Message fragment is unclear; reply's generic app-update question is a reasonable fallback.
484589,3,2,4,3,3,2,4,3,Generic acknowledgment of a vague post-iOS11 complaint.
1181852,3,3,3,3,3,3,3,3,"Generic restart suggestion, plausible first step for a headphone accessory fragment."
1287051,1,1,2,1,1,1,2,1,"Reply discusses future subscription changes, not the billing error the customer is actually reporting."
1571677,5,4,4,4,5,4,4,4,Correct workaround link for the stated autocorrect-I glitch.
707427,1,1,2,1,4,4,4,4,Message is a simple thanks; reply incorrectly assumes an ongoing unresolved issue.
1158020,1,1,2,1,1,1,2,1,Reply misreads the bulging-screen safety question as one about iOS 11 update compatibility.
2472935,5,4,4,4,5,4,4,4,Directly relevant article for the credit-card removal error described.
1162071,1,1,1,1,1,1,1,1,"Reply addresses a disabled iPad, unrelated to the autocorrect symbol bug described."
2834181,4,3,3,3,4,3,3,3,Reasonable troubleshooting step (restart) for a fix that reportedly hasn't worked yet.
382541,3,2,3,3,3,2,3,3,"Generic troubleshooting questions for a personalized-playlist quality complaint, not clearly matched."
1576413,5,5,5,5,5,5,5,5,Directly and correctly points to the iOS 11.1.1 autocorrect fix with backup guidance.
874920,4,3,4,3,4,3,4,3,Relevant clarifying question about update status for the iTunes shuffle complaint.
588070,3,3,3,3,3,3,3,3,"Generic guide reference plausible for a persistent, unspecified issue."
2545576,4,3,4,3,3,3,4,3,Appropriately asks for specifics given the vague 'messing up' complaint.
963474,3,2,2,2,3,2,2,2,"References 'your 6s' when the customer said iPhone 7, an inconsistency suggesting a mismatched retrieval."
2476049,1,1,2,1,1,1,2,1,"Reply suggests updating iOS, unrelated to the App Store review-status question asked."
1969314,2,1,3,2,2,1,3,2,Asking for country doesn't meaningfully address the recurring screen-freeze issue described.
894334,3,2,4,3,3,2,4,3,Generic acknowledgment of the charging-behavior description.
910437,5,4,5,5,5,4,5,5,Appropriately closes out a resolved-issue thank-you message.
445967,3,2,4,3,3,2,4,3,"Generic acknowledgment of the temperature question, defers to DM."
1147076,5,4,4,5,5,4,4,5,"Directly relevant, offers a concrete next step (email recovery) for the forgotten security questions."
1365590,5,4,4,4,5,4,4,4,Relevant link addressing the specific error code mentioned in the update complaint.
2850845,4,3,4,4,4,3,4,4,Appropriately redirects an Apple Pay checkout error to the Sales Support team.
2680930,3,2,3,3,3,2,3,3,Generic continuation plausible for a short confirmation message.
937451,4,3,4,4,4,3,4,4,Relevant follow-up question about duration for the app-crashing complaint.
993353,2,2,2,2,2,2,3,2,Reply describes a Mac progress-bar scenario that doesn't clearly match a generic login-failure message.
2111313,3,2,4,3,3,2,4,3,"Generic acknowledgment of a specific known error code, without offering the applicable fix."
